text,canonical_form_1,category_1,severity_rating,severity_description
utmosts,utmosts,no insult,0.0,None
cholo,cholo,racial / ethnic slurs,1.6,Strong
swordplay,swordplay,no insult,0.0,None
panhematopenia,panhematopenia,no insult,0.0,None
fuq,fuck,sexual anatomy / sexual acts,1.8,Strong
unmaimed,unmaimed,no insult,0.0,None
liveweight,liveweight,no insult,0.0,None
bitcher,bitch,sexual orientation / gender,1.4,Mild
slops,slops,no insult,0.0,None
matchboarding,matchboarding,no insult,0.0,None
legibilities,legibilities,no insult,0.0,None
slantfreak,slant eye,racial / ethnic slurs,2.6,Severe
stresser,stresser,no insult,0.0,None
knob-gobbler,knob,sexual anatomy / sexual acts,1.6,Strong
Sadat,Sadat,no insult,0.0,None
exemption,exemption,no insult,0.0,None
rice monkey,monkey,racial / ethnic slurs,3.0,Severe
polysynthetism,polysynthetism,no insult,0.0,None
stadholderate,stadholderate,no insult,0.0,None
g@ylord,gay,sexual orientation / gender,1.8,Strong
hypomelancholia,hypomelancholia,no insult,0.0,None
earthmove,earthmove,no insult,0.0,None
amino-,amino-,no insult,0.0,None
mecha fag,faggot,sexual orientation / gender,3.0,Severe
liturgician,liturgician,no insult,0.0,None
CCTV,CCTV,no insult,0.0,None
albuminizing,albuminizing,no insult,0.0,None
antiderivative,antiderivative,no insult,0.0,None
phukhead,fuck,sexual anatomy / sexual acts,2.4,Strong
zeugma,zeugma,no insult,0.0,None
shitassfucker,fuck,sexual anatomy / sexual acts,2.6,Severe
sidecutters,sidecutters,no insult,0.0,None
vendition,vendition,no insult,0.0,None
quasi-healthfully,quasi-healthfully,no insult,0.0,None
cervid,cervid,no insult,0.0,None
telelectroscope,telelectroscope,no insult,0.0,None
gloaming,gloaming,no insult,0.0,None
hylotheist,hylotheist,no insult,0.0,None
agnosias,agnosias,no insult,0.0,None
vinhatico,vinhatico,no insult,0.0,None
sh1t3,shit,bodily fluids / excrement,1.0,Mild
Kwame,Kwame,no insult,0.0,None
quickbeam,quickbeam,no insult,0.0,None
fukka,fuck,sexual anatomy / sexual acts,2.2,Strong
outslide,outslide,no insult,0.0,None
widish,widish,no insult,0.0,None
tactus,tactus,no insult,0.0,None
Jacoba,Jacoba,no insult,0.0,None
f@gs,faggot,sexual orientation / gender,3.0,Severe
artwork,artwork,no insult,0.0,None
phuckings,fuck,sexual anatomy / sexual acts,2.4,Strong
Iseabal,Iseabal,no insult,0.0,None
sonofabitch,bitch,other / general insult,1.4,Mild
ass eating nob jokeys,ass,sexual anatomy / sexual acts,2.8,Severe
plus-fours,plus-fours,no insult,0.0,None
startup,startup,no insult,0.0,None
macrobiotics,macrobiotics,no insult,0.0,None
camleting,camleting,no insult,0.0,None
c00nies,coon,racial / ethnic slurs,2.6,Severe
half-training,half-training,no insult,0.0,None
whoar,whore,sexual orientation / gender,1.8,Strong
Crucifixion,Crucifixion,no insult,0.0,None
etherealising,etherealising,no insult,0.0,None
arse-bandits,arse,sexual anatomy / sexual acts,2.2,Strong
pararek,pararek,no insult,0.0,None
commanding,commanding,no insult,0.0,None
rosiest,rosiest,no insult,0.0,None
mfckers,motherfucker,sexual anatomy / sexual acts,2.2,Strong
god damned,damn,religious offense,1.2,Mild
Tranny,tranny,sexual orientation / gender,2.8,Severe
WAFS,WAFS,no insult,0.0,None
thromboangiitis,thromboangiitis,no insult,0.0,None
son o bitch,bitch,sexual orientation / gender,1.6,Strong
Ommiades,Ommiades,no insult,0.0,None
bitch,bitch,sexual orientation / gender,1.4,Mild
Q-fever,Q-fever,no insult,0.0,None
phucchead,fuck,sexual anatomy / sexual acts,2.0,Strong
arseshit,arse,sexual anatomy / sexual acts,1.8,Strong
adure,adure,no insult,0.0,None
greed,greed,no insult,0.0,None
McLean,McLean,no insult,0.0,None
double dick,dick,sexual anatomy / sexual acts,1.6,Strong
minus,minus,no insult,0.0,None
Lomasi,Lomasi,no insult,0.0,None
overirrigating,overirrigating,no insult,0.0,None
ass fuck,fuck,sexual anatomy / sexual acts,2.8,Severe
subcategories,subcategories,no insult,0.0,None
insolate,insolate,no insult,0.0,None
open-chested,open-chested,no insult,0.0,None
venthole,venthole,no insult,0.0,None
saltorel,saltorel,no insult,0.0,None
buttermilk,buttermilk,racial / ethnic slurs,1.4,Mild
Frodi,Frodi,no insult,0.0,None
perfidy,perfidy,no insult,0.0,None
b0llocks,bollocks,sexual anatomy / sexual acts,1.2,Mild
unriddleable,unriddleable,no insult,0.0,None
dermatogen,dermatogen,no insult,0.0,None
bitchy ass,bitch,sexual anatomy / sexual acts,1.8,Strong
cyanhidrosis,cyanhidrosis,no insult,0.0,None
lady-boy,ladyboy,sexual orientation / gender,2.6,Severe
noncondensation,noncondensation,no insult,0.0,None
l@dyb0y,ladyboy,sexual orientation / gender,2.0,Strong
c0ck,cock,sexual anatomy / sexual acts,1.2,Mild
dyslalia,dyslalia,no insult,0.0,None
pretendingness,pretendingness,no insult,0.0,None
c0ckhead,cock,sexual anatomy / sexual acts,2.0,Strong
NSU,NSU,no insult,0.0,None
mofukkas,motherfucker,sexual anatomy / sexual acts,2.4,Strong
overhie,overhie,no insult,0.0,None
cortile,cortile,no insult,0.0,None
violal,violal,no insult,0.0,None
overquantity,overquantity,no insult,0.0,None
trisceptral,trisceptral,no insult,0.0,None
attracter,attracter,no insult,0.0,None
muffdiving,muff,sexual anatomy / sexual acts,2.0,Strong
dragooner,dragooner,no insult,0.0,None
dumbshit,shit,bodily fluids / excrement,1.6,Strong
blueprinting,blueprinting,no insult,0.0,None
shellapple,shellapple,no insult,0.0,None
clusterfucker,fuck,sexual anatomy / sexual acts,2.4,Strong
Culpeper,Culpeper,no insult,0.0,None
arythmia,arythmia,no insult,0.0,None
nonteachably,nonteachably,no insult,0.0,None
paroemiology,paroemiology,no insult,0.0,None
Tulsa,Tulsa,no insult,0.0,None
kiss my ass,ass,sexual anatomy / sexual acts,1.6,Strong
wonder-dumb,wonder-dumb,no insult,0.0,None
wanks,wank,sexual anatomy / sexual acts,1.0,Mild
cock rider,cock,sexual anatomy / sexual acts,2.4,Strong
resup,resup,no insult,0.0,None
overlicentious,overlicentious,no insult,0.0,None
shitted,shit,bodily fluids / excrement,1.2,Mild
gimblet,gimblet,no insult,0.0,None
excoct,excoct,no insult,0.0,None
beyoch,bitch,sexual orientation / gender,1.2,Mild
tub-thump,tub-thump,no insult,0.0,None
nonobscurities,nonobscurities,no insult,0.0,None
subtepidness,subtepidness,no insult,0.0,None
widened,widened,no insult,0.0,None
flutter,flutter,no insult,0.0,None
untransparently,untransparently,no insult,0.0,None
llareta,llareta,no insult,0.0,None
knob jockey,knob,sexual anatomy / sexual acts,1.8,Strong
b1otchs,bitch,sexual orientation / gender,1.2,Mild
O',O',no insult,0.0,None
yaw-haw,yaw-haw,no insult,0.0,None
tongue fucking,fuck,sexual anatomy / sexual acts,2.8,Severe
Jessica,Jessica,no insult,0.0,None
saip,saip,no insult,0.0,None
elegant,elegant,no insult,0.0,None
Pressburg,Pressburg,no insult,0.0,None
gaytard,gay,sexual orientation / gender,2.8,Severe
prick,prick,sexual anatomy / sexual acts,1.0,Mild
fortune-telling,fortune-telling,no insult,0.0,None
hing,hing,no insult,0.0,None
shitd1ck,shit,sexual anatomy / sexual acts,2.0,Strong
coprophilic,coprophilic,no insult,0.0,None
vexedly,vexedly,no insult,0.0,None
hard-coated,hard-coated,no insult,0.0,None
bastard,bastard,other / general insult,1.2,Mild
Phukking,fuck,sexual anatomy / sexual acts,1.8,Strong
iris-in,iris-in,no insult,0.0,None
fecundize,fecundize,no insult,0.0,None
fukheads,fuck,sexual anatomy / sexual acts,2.0,Strong
microsecond,microsecond,no insult,0.0,None
tailspins,tailspins,no insult,0.0,None
phucup,fuck,sexual anatomy / sexual acts,1.8,Strong
serriedly,serriedly,no insult,0.0,None
half-intellectually,half-intellectually,no insult,0.0,None
promise-bound,promise-bound,no insult,0.0,None
caterers,caterers,no insult,0.0,None
foredone,foredone,no insult,0.0,None
mothafuckins,motherfucker,sexual anatomy / sexual acts,2.6,Severe
mother fucking,motherfucker,sexual anatomy / sexual acts,3.0,Severe
memorist,memorist,no insult,0.0,None
bobbishly,bobbishly,no insult,0.0,None
ferrash,ferrash,no insult,0.0,None
kiosks,kiosks,no insult,0.0,None
scheltopusik,scheltopusik,no insult,0.0,None
fishline,fishline,no insult,0.0,None
shit stain,shit,bodily fluids / excrement,1.8,Strong
dipshite,shit,bodily fluids / excrement,1.6,Strong
tan-trodden,tan-trodden,no insult,0.0,None
cellulolytic,cellulolytic,no insult,0.0,None
Aggappera,Aggappera,no insult,0.0,None
ape shit,ape,bodily fluids / excrement,1.6,Strong
hanging,hanging,no insult,0.0,None
sword-leaved,sword-leaved,no insult,0.0,None
deputizes,deputizes,no insult,0.0,None
crevis,crevis,no insult,0.0,None
gabbroid,gabbroid,no insult,0.0,None
newsroom,newsroom,no insult,0.0,None
urethylane,urethylane,no insult,0.0,None
Demerol,Demerol,no insult,0.0,None
raker,raker,no insult,0.0,None
fckedup,fuck,sexual anatomy / sexual acts,2.0,Strong
shithole,shit,sexual anatomy / sexual acts,1.8,Strong
Hardenbergia,Hardenbergia,no insult,0.0,None
asshole,ass,sexual anatomy / sexual acts,1.2,Mild
unclamorous,unclamorous,no insult,0.0,None
sideromancy,sideromancy,no insult,0.0,None
pussylickers,pussy,sexual anatomy / sexual acts,2.8,Severe
Aram,Aram,no insult,0.0,None
Dam,Dam,no insult,0.0,None
cascabel,cascabel,no insult,0.0,None
ontologically,ontologically,no insult,0.0,None
gay bitch,gay,sexual orientation / gender,2.6,Severe
unmortised,unmortised,no insult,0.0,None
antepone,antepone,no insult,0.0,None
alhandal,alhandal,no insult,0.0,None
fluviatic,fluviatic,no insult,0.0,None
packing fudge,fudge packer,sexual anatomy / sexual acts,2.4,Strong
muddafukkas,motherfucker,sexual anatomy / sexual acts,3.0,Severe
ghazi,ghazi,no insult,0.0,None
uncried,uncried,no insult,0.0,None
jawfallen,jawfallen,no insult,0.0,None
Rashti,Rashti,no insult,0.0,None
noninverted,noninverted,no insult,0.0,None
forgrown,forgrown,no insult,0.0,None
ear-wax,ear-wax,no insult,0.0,None
Tussaud,Tussaud,no insult,0.0,None
hectoringly,hectoringly,no insult,0.0,None
rpt.,rpt.,no insult,0.0,None
queanlike,queanlike,no insult,0.0,None
f@g,faggot,sexual orientation / gender,2.8,Severe
mesogloea,mesogloea,no insult,0.0,None
muthafuckings,motherfucker,sexual anatomy / sexual acts,3.0,Severe
redemising,redemising,no insult,0.0,None
town-keeping,town-keeping,no insult,0.0,None
wisely,wisely,no insult,0.0,None
retrievableness,retrievableness,no insult,0.0,None
bishes,bitch,sexual orientation / gender,1.2,Mild
VSP,VSP,no insult,0.0,None
Acanthocereus,Acanthocereus,no insult,0.0,None
contd.,contd.,no insult,0.0,None
superconductive,superconductive,no insult,0.0,None
blumpkin boy,blumpkin,sexual anatomy / sexual acts,2.4,Strong
legitimizer,legitimizer,no insult,0.0,None
air-blown,air-blown,no insult,0.0,None
encarpus,encarpus,no insult,0.0,None
gabarit,gabarit,no insult,0.0,None
Anselmi,Anselmi,no insult,0.0,None
hillsite,hillsite,no insult,0.0,None
doggy style,doggy style,sexual anatomy / sexual acts,1.4,Mild
horsemen,horsemen,no insult,0.0,None
overstrove,overstrove,no insult,0.0,None
phosphate,phosphate,no insult,0.0,None
Cvennes,Cvennes,no insult,0.0,None
m0f0,motherfucker,sexual anatomy / sexual acts,2.0,Strong
d1cks,dick,sexual anatomy / sexual acts,1.4,Mild
demythify,demythify,no insult,0.0,None
thorpes,thorpes,no insult,0.0,None
Tiphani,Tiphani,no insult,0.0,None
mackles,mackles,no insult,0.0,None
chappal,chappal,no insult,0.0,None
dicksmoker,dick,sexual anatomy / sexual acts,2.8,Severe
interlocated,interlocated,no insult,0.0,None
c*nt,cunt,sexual anatomy / sexual acts,3.0,Severe
negro,negro,racial / ethnic slurs,2.0,Strong
Mozarabian,Mozarabian,no insult,0.0,None
mofo,motherfucker,sexual anatomy / sexual acts,2.0,Strong
0rg@sm,orgasm,sexual anatomy / sexual acts,1.0,Mild
restrip,restrip,no insult,0.0,None
weekender,weekender,no insult,0.0,None
affiliates,affiliates,no insult,0.0,None
sclat,sclat,no insult,0.0,None
shopkeeper,shopkeeper,no insult,0.0,None
blue-blackness,blue-blackness,no insult,0.0,None
palay,palay,no insult,0.0,None
hemothorax,hemothorax,no insult,0.0,None
trilateration,trilateration,no insult,0.0,None
snatch,snatch,sexual anatomy / sexual acts,1.0,Mild
althein,althein,no insult,0.0,None
shtfuk,shit,other / general insult,1.8,Strong
pedos,pedophile,other / general insult,2.4,Strong
mythico-romantic,mythico-romantic,no insult,0.0,None
slunken,slunken,no insult,0.0,None
mothafuccing,motherfucker,sexual anatomy / sexual acts,3.0,Severe
recrusher,recrusher,no insult,0.0,None
zymosans,zymosans,no insult,0.0,None
appreteur,appreteur,no insult,0.0,None
sinical,sinical,no insult,0.0,None
Quint,Quint,no insult,0.0,None
trekker,trekker,no insult,0.0,None
well-answered,well-answered,no insult,0.0,None
l3itches,bitch,sexual orientation / gender,1.2,Mild
cockface,cock,sexual anatomy / sexual acts,2.0,Strong
anamorphous,anamorphous,no insult,0.0,None
c0cks,cock,sexual anatomy / sexual acts,1.6,Strong
transvestite,transvestite,sexual orientation / gender,2.4,Strong
dyking,dyking,no insult,0.0,None
rutilant,rutilant,no insult,0.0,None
c0cksuckers,cock,sexual anatomy / sexual acts,2.2,Strong
desiderative,desiderative,no insult,0.0,None
Chandra,Chandra,no insult,0.0,None
prick-gobbler,prick,sexual anatomy / sexual acts,2.2,Strong
Belloir,Belloir,no insult,0.0,None
squabblers,squabblers,no insult,0.0,None
Cynosurus,Cynosurus,no insult,0.0,None
cinematized,cinematized,no insult,0.0,None
piazine,piazine,no insult,0.0,None
radiotelemetries,radiotelemetries,no insult,0.0,None
bollock,bollocks,sexual anatomy / sexual acts,1.0,Mild
didepside,didepside,no insult,0.0,None
Leora,Leora,no insult,0.0,None
dickhead,dick,sexual anatomy / sexual acts,2.0,Strong
inspection's,inspection's,no insult,0.0,None
weki,weki,no insult,0.0,None
Mathematik,Mathematik,no insult,0.0,None
fuc,fuck,sexual anatomy / sexual acts,1.6,Strong
bestudded,bestudded,no insult,0.0,None
burg-bryce,burg-bryce,no insult,0.0,None
squamatine,squamatine,no insult,0.0,None
wherryman,wherryman,no insult,0.0,None
sangers,sangers,no insult,0.0,None
indeterminist,indeterminist,no insult,0.0,None
preferentially,preferentially,no insult,0.0,None
cuksukka,cock,sexual anatomy / sexual acts,2.2,Strong
nut butter,nut butter,bodily fluids / excrement,1.4,Mild
wainscot-paneled,wainscot-paneled,no insult,0.0,None
Paquito,Paquito,no insult,0.0,None
Eyre,Eyre,no insult,0.0,None
underhold,underhold,no insult,0.0,None
smocks,smocks,no insult,0.0,None
biosensor,biosensor,no insult,0.0,None
gash-stabber,gash-stabber,sexual anatomy / sexual acts,2.0,Strong
mouthers,mouthers,no insult,0.0,None
cuntz,cunt,sexual anatomy / sexual acts,2.8,Severe
pinner,pinner,no insult,0.0,None
sobrevest,sobrevest,no insult,0.0,None
dammaret,dammaret,no insult,0.0,None
myoblasts,myoblasts,no insult,0.0,None
fetch-candle,fetch-candle,no insult,0.0,None
unaffable,unaffable,no insult,0.0,None
cockhed,cock,sexual anatomy / sexual acts,2.0,Strong
porously,porously,no insult,0.0,None
fantastic,fantastic,no insult,0.0,None
encrypting,encrypting,no insult,0.0,None
pre-Christianic,pre-Christianic,no insult,0.0,None
arse,arse,sexual anatomy / sexual acts,1.0,Mild
pussy lick,pussy,sexual anatomy / sexual acts,2.4,Strong
muthafecker,motherfucker,sexual anatomy / sexual acts,2.8,Severe
taboparetic,taboparetic,no insult,0.0,None
shitbag,shit,bodily fluids / excrement,2.0,Strong
vraic,vraic,no insult,0.0,None
fuckshithead,fuck,sexual anatomy / sexual acts,2.8,Severe
hdqrs,hdqrs,no insult,0.0,None
w4nker,wank,sexual anatomy / sexual acts,1.0,Mild
rufous-breasted,rufous-breasted,no insult,0.0,None
nobjokeys,knob,sexual orientation / gender,1.8,Strong
costispinal,costispinal,no insult,0.0,None
penisfcker,penis,sexual anatomy / sexual acts,3.0,Severe
full of shit,shit,bodily fluids / excrement,1.0,Mild
factionist,factionist,no insult,0.0,None
prankle,prankle,no insult,0.0,None
budbreak,budbreak,no insult,0.0,None
Hussitism,Hussitism,no insult,0.0,None
fecker,fuck,sexual anatomy / sexual acts,2.2,Strong
Gesnera,Gesnera,no insult,0.0,None
time-lag,time-lag,no insult,0.0,None
sk@nkz,skank,sexual orientation / gender,1.4,Mild
vehicula,vehicula,no insult,0.0,None
Hesper,Hesper,no insult,0.0,None
fag bag,faggot,sexual orientation / gender,2.8,Severe
shi+y,shit,bodily fluids / excrement,1.0,Mild
nondepreciatory,nondepreciatory,no insult,0.0,None
splenical,splenical,no insult,0.0,None
disgeneric,disgeneric,no insult,0.0,None
mutha fucka,motherfucker,sexual anatomy / sexual acts,2.8,Severe
sh1ts,shit,bodily fluids / excrement,1.0,Mild
cocsuck,cock,sexual anatomy / sexual acts,2.0,Strong
nigasses,nigger,racial / ethnic slurs,3.0,Severe
vakeel,vakeel,no insult,0.0,None
undivertive,undivertive,no insult,0.0,None
sailor-mind,sailor-mind,no insult,0.0,None
ter-sanctus,ter-sanctus,no insult,0.0,None
ja!lbait,jailbait,sexual anatomy / sexual acts,1.0,Mild
ghouls,ghouls,no insult,0.0,None
renters,renters,no insult,0.0,None
broadacre,broadacre,no insult,0.0,None
fuckboy,fuck,sexual anatomy / sexual acts,2.6,Severe
papulosquamous,papulosquamous,no insult,0.0,None
anticipated,anticipated,no insult,0.0,None
hoar,whore,sexual orientation / gender,1.8,Strong
recklessly,recklessly,no insult,0.0,None
carnification,carnification,no insult,0.0,None
tholli,tholli,no insult,0.0,None
odd-come-shortly,odd-come-shortly,no insult,0.0,None
fvck you,fuck,sexual anatomy / sexual acts,2.2,Strong
n3gro,negro,racial / ethnic slurs,2.4,Strong
sleevefish,sleevefish,no insult,0.0,None
radiculose,radiculose,no insult,0.0,None
motherfckin,motherfucker,sexual anatomy / sexual acts,3.0,Severe
fingerbanged,finger,sexual anatomy / sexual acts,1.6,Strong
c0xux0r,cock,sexual anatomy / sexual acts,1.8,Strong
jargonizer,jargonizer,no insult,0.0,None
proestrus,proestrus,no insult,0.0,None
hand-mold,hand-mold,no insult,0.0,None
frumpiness,frumpiness,no insult,0.0,None
pentagamist,pentagamist,no insult,0.0,None
motherfvcking,motherfucker,sexual anatomy / sexual acts,2.8,Severe
raptury,raptury,no insult,0.0,None
coroplastae,coroplastae,no insult,0.0,None
antisubmarine,antisubmarine,no insult,0.0,None
contradictional,contradictional,no insult,0.0,None
spiraled,spiraled,no insult,0.0,None
horse's asses,ass,sexual anatomy / sexual acts,1.4,Mild
hyperridiculousness,hyperridiculousness,no insult,0.0,None
phukup,fuck,sexual anatomy / sexual acts,1.8,Strong
bewitched,bewitched,no insult,0.0,None
gladless,gladless,no insult,0.0,None
fvcka,fuck,sexual anatomy / sexual acts,2.0,Strong
sawbelly,sawbelly,no insult,0.0,None
candleberries,candleberries,no insult,0.0,None
overobjectify,overobjectify,no insult,0.0,None
aphis-lion,aphis-lion,no insult,0.0,None
dick-head,dick,sexual anatomy / sexual acts,1.8,Strong
dick sucker,dick,sexual anatomy / sexual acts,2.2,Strong
Phio,Phio,no insult,0.0,None
trabeculate,trabeculate,no insult,0.0,None
Stacie,Stacie,no insult,0.0,None
barless,barless,no insult,0.0,None
haunched,haunched,no insult,0.0,None
exo-,exo-,no insult,0.0,None
Porthetria,Porthetria,no insult,0.0,None
Campodeidae,Campodeidae,no insult,0.0,None
tournedos,tournedos,no insult,0.0,None
trashybitches,bitch,sexual orientation / gender,1.8,Strong
shiddick,shit,sexual anatomy / sexual acts,2.0,Strong
Leor,Leor,no insult,0.0,None
MFer,motherfucker,sexual anatomy / sexual acts,1.8,Strong
statesmen,statesmen,no insult,0.0,None
irregulation,irregulation,no insult,0.0,None
well-comprehended,well-comprehended,no insult,0.0,None
quadrisulphide,quadrisulphide,no insult,0.0,None
spiritsome,spiritsome,no insult,0.0,None
bespirit,bespirit,no insult,0.0,None
nonionized,nonionized,no insult,0.0,None
thugs,thugs,no insult,0.0,None
homosexuals,homosexuals,no insult,0.0,None
motherfucca,motherfucker,sexual anatomy / sexual acts,2.6,Severe
phuk,fuck,sexual anatomy / sexual acts,2.0,Strong
muds,muds,no insult,0.0,None
spere,spere,no insult,0.0,None
dalar,dalar,no insult,0.0,None
kajeputs,kajeputs,no insult,0.0,None
shi+,shit,bodily fluids / excrement,1.0,Mild
gaysian,gay,sexual orientation / gender,2.6,Severe
overassertion,overassertion,no insult,0.0,None
rebop,rebop,no insult,0.0,None
caxiri,caxiri,no insult,0.0,None
Jemappes,Jemappes,no insult,0.0,None
c*nts,cunt,sexual orientation / gender,2.8,Severe
psalmodies,psalmodies,no insult,0.0,None
Tierney,Tierney,no insult,0.0,None
self-oxidation,self-oxidation,no insult,0.0,None
Lipkin,Lipkin,no insult,0.0,None
wares,wares,no insult,0.0,None
mothafucked,motherfucker,sexual anatomy / sexual acts,2.8,Severe
schistose,schistose,no insult,0.0,None
anconoid,anconoid,no insult,0.0,None
bi + ch,bitch,sexual orientation / gender,1.2,Mild
shitfucker,fuck,sexual anatomy / sexual acts,2.4,Strong
cheerer,cheerer,no insult,0.0,None
unpiratical,unpiratical,no insult,0.0,None
gowl,gowl,other / general insult,1.6,Strong
Hydroleaceae,Hydroleaceae,no insult,0.0,None
Virgilism,Virgilism,no insult,0.0,None
mothafucka,motherfucker,sexual anatomy / sexual acts,2.8,Severe
d!ld0,dildo,sexual anatomy / sexual acts,1.4,Mild
desorb,desorb,no insult,0.0,None
pre-expenditure,pre-expenditure,no insult,0.0,None
Gymnocladus,Gymnocladus,no insult,0.0,None
ethnographies,ethnographies,no insult,0.0,None
tocsins,tocsins,no insult,0.0,None
shoval,shoval,no insult,0.0,None
cuckoos,cuckoos,no insult,0.0,None
existently,existently,no insult,0.0,None
nonindustrialization,nonindustrialization,no insult,0.0,None
driftland,driftland,no insult,0.0,None
angloid,angloid,no insult,0.0,None
fukkings,fuck,sexual anatomy / sexual acts,2.0,Strong
fuck your mother,fuck,sexual anatomy / sexual acts,2.8,Severe
Bryanty,Bryanty,no insult,0.0,None
oversanguineness,oversanguineness,no insult,0.0,None
Cremini,Cremini,no insult,0.0,None
kleptomaniacal,kleptomaniacal,no insult,0.0,None
urrhodinic,urrhodinic,no insult,0.0,None
titillations,titillations,no insult,0.0,None
Saumur,Saumur,no insult,0.0,None
Buginvillaea,Buginvillaea,no insult,0.0,None
Trotters,Trotters,no insult,0.0,None
perspicable,perspicable,no insult,0.0,None
tart,tart,mental disability,1.2,Mild
apophthegm,apophthegm,no insult,0.0,None
Seboyeta,Seboyeta,no insult,0.0,None
demonstrance,demonstrance,no insult,0.0,None
cock sucking,cock,sexual anatomy / sexual acts,2.2,Strong
DSD,DSD,no insult,0.0,None
pharyngotyphoid,pharyngotyphoid,no insult,0.0,None
Gershonite,Gershonite,no insult,0.0,None
yonner,yonner,no insult,0.0,None
Clo,Clo,no insult,0.0,None
bull shit,shit,bodily fluids / excrement,1.0,Mild
Shelta,Shelta,no insult,0.0,None
scatomata,scatomata,no insult,0.0,None
ponent,ponent,no insult,0.0,None
Budh,Budh,no insult,0.0,None
pigfukker,fuck,sexual anatomy / sexual acts,2.8,Severe
gum-tree,gum-tree,no insult,0.0,None
subimposed,subimposed,no insult,0.0,None
changemaker,changemaker,no insult,0.0,None
unquailed,unquailed,no insult,0.0,None
stereoradiography,stereoradiography,no insult,0.0,None
cuntelope,cunt,sexual anatomy / sexual acts,2.4,Strong
jap,jap,racial / ethnic slurs,2.8,Severe
zigzagging,zigzagging,no insult,0.0,None
b1tching,bitch,sexual orientation / gender,1.2,Mild
neutered,neutered,no insult,0.0,None
concrfsce,concrfsce,no insult,0.0,None
balneotherapia,balneotherapia,no insult,0.0,None
unenslave,unenslave,no insult,0.0,None
fibrilation,fibrilation,no insult,0.0,None
clusterfuck,fuck,sexual anatomy / sexual acts,1.8,Strong
concealers,concealers,no insult,0.0,None
uranophotography,uranophotography,no insult,0.0,None
middle-classdom,middle-classdom,no insult,0.0,None
son of a bitch,bitch,other / general insult,1.2,Mild
broad-blown,broad-blown,no insult,0.0,None
pu$sy,pussy,sexual anatomy / sexual acts,1.6,Strong
lisp's,lisp's,no insult,0.0,None
c0cksucked,cock,sexual anatomy / sexual acts,2.0,Strong
anteri,anteri,no insult,0.0,None
soab,bitch,other / general insult,1.6,Strong
dumbass fucker,fuck,sexual anatomy / sexual acts,2.6,Severe
ice-bolt,ice-bolt,no insult,0.0,None
forweary,forweary,no insult,0.0,None
autogram,autogram,no insult,0.0,None
ph@ggots,faggot,sexual orientation / gender,2.8,Severe
jigger,jiggaboo,racial / ethnic slurs,3.0,Severe
duckboat,duckboat,no insult,0.0,None
mushroom tip,mushroom tip,sexual anatomy / sexual acts,1.4,Mild
Alf,Alf,no insult,0.0,None
Ralina,Ralina,no insult,0.0,None
incensation,incensation,no insult,0.0,None
ass-bandit,ass,sexual anatomy / sexual acts,1.8,Strong
violet-headed,violet-headed,no insult,0.0,None
unculpable,unculpable,no insult,0.0,None
salad's,salad's,no insult,0.0,None
nonundulate,nonundulate,no insult,0.0,None
rostrums,rostrums,no insult,0.0,None
fuckaz,fuck,sexual anatomy / sexual acts,2.2,Strong
optimists,optimists,no insult,0.0,None
Deidre,Deidre,no insult,0.0,None
spicfuck,fuck,sexual anatomy / sexual acts,3.0,Severe
savors,savors,no insult,0.0,None
phuccer,fuck,sexual anatomy / sexual acts,2.2,Strong
supa,supa,no insult,0.0,None
kim-kam,kim-kam,no insult,0.0,None
Buri,Buri,no insult,0.0,None
mathematico-,mathematico-,no insult,0.0,None
Hippoglosinae,Hippoglosinae,no insult,0.0,None
prefertilization,prefertilization,no insult,0.0,None
outbanned,outbanned,no insult,0.0,None
creampie,creampie,sexual anatomy / sexual acts,2.2,Strong
arnatta,arnatta,no insult,0.0,None
Bor',Bor',no insult,0.0,None
beaners,beaner,racial / ethnic slurs,2.6,Severe
pelerines,pelerines,no insult,0.0,None
autoionization,autoionization,no insult,0.0,None
Riverhead,Riverhead,no insult,0.0,None
stereometrically,stereometrically,no insult,0.0,None
pectases,pectases,no insult,0.0,None
anthropophagic,anthropophagic,no insult,0.0,None
ovogenetic,ovogenetic,no insult,0.0,None
s_h_i_s,shit,bodily fluids / excrement,1.0,Mild
cuspidal,cuspidal,no insult,0.0,None
too-fervent,too-fervent,no insult,0.0,None
sundering,sundering,no insult,0.0,None
dim-sightedness,dim-sightedness,no insult,0.0,None
Batussi,Batussi,no insult,0.0,None
Chittenango,Chittenango,no insult,0.0,None
fridstool,fridstool,no insult,0.0,None
Chimkent,Chimkent,no insult,0.0,None
embroaden,embroaden,no insult,0.0,None
nitrification,nitrification,no insult,0.0,None
upright-standing,upright-standing,no insult,0.0,None
shahi,shahi,no insult,0.0,None
albescent,albescent,no insult,0.0,None
goddamnit,damn,religious offense,1.6,Strong
swampine,swampine,no insult,0.0,None
jackoffz,jack off,sexual anatomy / sexual acts,1.6,Strong
archiater,archiater,no insult,0.0,None
scarce-found,scarce-found,no insult,0.0,None
aridge,aridge,no insult,0.0,None
caribes,caribes,no insult,0.0,None
trithings,trithings,no insult,0.0,None
Theopaschitic,Theopaschitic,no insult,0.0,None
Calisa,Calisa,no insult,0.0,None
motherfuck,motherfucker,sexual anatomy / sexual acts,2.4,Strong
overspring,overspring,no insult,0.0,None
puckerel,puckerel,no insult,0.0,None
pancake face,pancake face,racial / ethnic slurs,1.6,Strong
